ID_Venda;Data_Hora_Venda;SKU;Nome_Produto;Categoria;Valor_Unitario;Custo_Unitario;Quantidade;Desconto_Aplicado_Percent;ID_Cliente;Tipo_Cliente;ID_Vendedor;Nome_Vendedor;Filial;Canal_Venda;Metodo_Pagamento;Status_Venda
V101;01/06/2025 10:22;CS-INV-CZ-M;Casaco de Inverno Cinza M;Vestuário Masculino;449,9;210;1;0.0;C101;Recorrente;VEND01;Ana Pereira;Shopping Jaraguá;Loja Física;Cartão de Crédito;Concluída
V102;01/06/2025 11:30;CM-PL-BR-P;Camisa Polo Branca P;Vestuário Masculino;149,9;75;2;0.1;C205;Recorrente;VEND03;Carlos Silva;Centro;Loja Física;PIX;Concluída
V103;01/06/2025 14:05;VT-LN-AZ-M;Vestido de Lã Azul M;Vestuário Feminino;349,9;160;1;0.0;C310;Novo;VEND02;Beatriz Costa;Shopping Jaraguá;Loja Física;Cartão de Crédito;Concluída
V104;02/06/2025 09:15;AC-LU-PR-U;Luva de Couro Preta;Acessórios;129,9;55;1;0.0;C415;Novo;VEND04;Daniel Martins;E-commerce;Online;PIX;Concluída
V105;02/06/2025 13:45;CJ-SL-AZ-42;Calça Jeans Slim Azul 42;Vestuário Masculino;249,9;110;1;0.0;C520;Recorrente;VEND01;Ana Pereira;Centro;Loja Física;Dinheiro;Concluída
V106;02/06/2025 17:50;TN-CS-PR-41;Tênis Casual Preto 41;Calçados;219,9;105;1;0.0;C625;Novo;VEND04;Daniel Martins;E-commerce;Online;Cartão de Crédito;Concluída
V107;03/06/2025 11:00;CS-INV-CZ-G;Casaco de Inverno Cinza G;Vestuário Masculino;449,9;210;1;0.0;C730;Recorrente;VEND03;Carlos Silva;Shopping Jaraguá;Loja Física;Cartão de Crédito;Concluída
V108;03/06/2025 16:21;BL-CR-PR-U;Bolsa de Couro Preta;Acessórios;399,9;180;1;0.0;C835;Novo;VEND02;Beatriz Costa;Shopping Jaraguá;Loja Física;PIX;Concluída
V109;04/06/2025 12:12;CM-PL-BR-P;Camisa Polo Branca P;Vestuário Masculino;149,9;75;1;0.0;C940;Recorrente;VEND01;Ana Pereira;Centro;Loja Física;Cartão de Débito;Concluída
V110;04/06/2025 18:30;VT-LN-AZ-M;Vestido de Lã Azul M;Vestuário Feminino;349,9;160;1;0.0;C101;Recorrente;VEND02;Beatriz Costa;Shopping Jaraguá;Loja Física;PIX;Devolvida
V111;05/06/2025 10:05;AC-LU-PR-U;Luva de Couro Preta;Acessórios;129,9;55;2;0.1;C205;Recorrente;VEND03;Carlos Silva;Centro;Loja Física;Dinheiro;Concluída
V112;05/06/2025 15:20;TN-CS-PR-41;Tênis Casual Preto 41;Calçados;219,9;105;1;0.0;C310;Recorrente;VEND04;Daniel Martins;E-commerce;Online;Cartão de Crédito;Concluída
V113;06/06/2025 19:00;CS-INV-CZ-M;Casaco de Inverno Cinza M;Vestuário Masculino;449,9;210;1;0.0;C415;Recorrente;VEND01;Ana Pereira;Shopping Jaraguá;Loja Física;Cartão de Crédito;Concluída
V114;06/06/2025 20:10;BL-CR-PR-U;Bolsa de Couro Preta;Acessórios;399,9;180;1;0.0;C520;Recorrente;VEND02;Beatriz Costa;Shopping Jaraguá;Loja Física;PIX;Concluída
V115;07/06/2025 11:40;CJ-SL-AZ-42;Calça Jeans Slim Azul 42;Vestuário Masculino;249,9;110;1;0.0;C625;Recorrente;VEND03;Carlos Silva;Centro;Loja Física;Dinheiro;Concluída
V116;07/06/2025 14:15;CM-PL-BR-P;Camisa Polo Branca P;Vestuário Masculino;149,9;75;1;0.0;C730;Recorrente;VEND01;Ana Pereira;Centro;Loja Física;Cartão de Débito;Concluída
V117;08/06/2025 16:30;AC-LU-PR-U;Luva de Couro Preta;Acessórios;129,9;55;1;0.0;C835;Recorrente;VEND03;Carlos Silva;Shopping Jaraguá;Loja Física;PIX;Concluída
V118;09/06/2025 10:10;CS-INV-CZ-P;Casaco de Inverno Cinza P;Vestuário Feminino;429,9;200;1;0.1;C940;Recorrente;VEND02;Beatriz Costa;Shopping Jaraguá;Loja Física;Cartão de Crédito;Concluída
V119;09/06/2025 13:25;VT-LN-AZ-G;Vestido de Lã Azul G;Vestuário Feminino;349,9;160;1;0.0;C101;Recorrente;VEND02;Beatriz Costa;Centro;Loja Física;PIX;Concluída
